1;Transknight;0;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
6;TransKnight;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
7;TransKnight;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
8;TransKnight;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
9;TransKnight;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
11;Foema;0;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
16;Foema;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
17;Foema;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
18;Foema;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
19;Foema;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
21;BeastMaster;0;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
22;Lobisomem;0;0;0;0;0;0;0;0;0;1;0;0;18;2556;47;2;48;4;42;10;27;1
23;Homem_Urso;1;0;0;0;0;0;0;0;0;1;0;0;18;2556;47;2;48;4;42;10;27;1
24;Astaroth;0;0;0;0;0;0;0;0;0;1;0;0;18;2553;47;2;48;4;42;10;27;4
25;Tita;14;0;0;0;0;0;0;0;0;1;0;0;18;255;47;2;48;4;42;10;27;2
26;BeastMaster;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
27;BeastMaster;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
28;BeastMaster;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
29;BeastMaster;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
31;Huntress;0;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
32;Eden;43;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10;4;2000;3;500;49;40;50;40;51;40;52;40;2;1500
36;Huntress;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
37;Huntress;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
38;Huntress;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
39;Huntress;40;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
41;Transknight;80;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;2;42;10
42;Foema;80;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
43;BeastMaster;64;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
44;Huntress;64;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1;47;2;48;4;42;10
51;Ruty;8;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
52;Guardiao_da_Cidade;9;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
53;Terah;10;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
54;Compositor;18;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1
55;Ailyn;10;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
56;Arcadia;10;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
57;Item_Premium_Neil;13;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
58;Ferreiro;5;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1
59;Comerciante;6;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1
60;Guarda;7;0;0;0;0;0;0;0;0;1;0;0;18;255;27;2
61;Foema_Anciao;7;0;0;0;0;0;0;0;0;1;0;0;18;255;27;1
62;Anciao_(Elmo);7;0;76;146;0;0;0;0;74000;2;0;0;18;255;33;0;3;21
63;Mestre_Archie;7;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
64;Comerciante_Arnold;8;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
65;Face_da_Shiner_(Tipo_A);90;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
66;Face_da_Shiner_(Tipo_B);91;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
67;Face_da_Shiner_(Tipo_C);92;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
68;Tiny;91;0;0;0;0;0;0;0;0;1;0;0;18;255;33;0
100;Elmo_de_Aco;9;0;134;0;93;0;0;0;70000;2;0;0;18;255;33;0;3;30
101;Armadura_de_Aco;9;0;124;0;58;0;0;0;99000;4;0;0;18;255;33;0;3;41
102;Calça_de_Aco;9;0;140;0;71;0;0;0;26200;8;0;0;18;255;33;0;3;36
103;Luva_de_Aco;9;0;146;0;99;0;0;0;71000;16;0;0;18;255;33;0;3;28
104;Bota_de_Aco;9;0;169;0;51;0;0;0;57000;32;0;0;18;255;33;0;3;30
105;Elmo_de_Concha;5;0;76;146;0;0;0;0;74000;2;0;0;18;255;33;0;3;21
106;Tunica_de_Concha;5;0;82;160;0;0;0;0;110000;4;0;0;18;255;33;0;3;36
107;Calca_de_Concha;5;0;82;158;0;0;0;0;81000;8;0;0;18;255;33;0;3;32
108;Luvas_de_Concha;5;0;73;140;0;0;0;0;78700;16;0;0;18;255;33;0;3;23
109;Botas_de_Concha;5;0;80;134;0;0;0;0;58500;32;0;0;18;255;33;0;3;23
110;Elmo_Conjurador;6;0;76;146;0;0;0;0;74000;2;0;0;18;255;33;0;3;21
111;Tunica_Conjuradora;6;0;82;160;0;0;0;0;110000;4;0;0;18;255;33;0;3;36
112;Calca_Conjuradora;6;0;82;158;0;0;0;0;81000;8;0;0;18;255;33;0;3;32
113;Luvas_Conjuradoras;6;0;73;140;0;0;0;0;78700;16;0;0;18;255;33;0;3;23
114;Botas_Conjuradoras;6;0;80;134;0;0;0;0;58500;32;0;0;18;255;33;0;3;23
115;Elmo_de_Artesao;5;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
116;Armadura_de_Artesao;5;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
117;Calca_de_Artesao;5;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
118;Luva_de_Artesao;5;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
119;Bota_de_Artesao;5;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
120;Chapeu_de_Midas;6;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
121;Casaco_de_Midas;6;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
122;Calca_de_Midas;6;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
123;Luva_de_Midas;6;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
124;Bota_de_Midas;6;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
125;Elmo_de_Comandante;7;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
126;Armadura_de_Guarda;7;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
127;Calca_de_Comandante;7;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
128;Luva_de_Comandante;7;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
129;Bota_de_Comandante;7;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
130;Elmo_de_Guarda;8;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
131;Armadura_de_Comandante;8;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
132;Elmo_de_Archie;7;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
133;Armadura_de_Archie;7;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
134;Calca_de_Archie;7;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
135;Luva_de_Archie;7;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
136;Bota_de_Archie;7;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
137;Elmo_de_Arnold;8;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
138;Calca_de_Arnold;8;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
139;Elmo_Feminino;8;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
140;Armadura_Feminina;8;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
141;Calça_Feminina;8;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
142;Luva_Feminina;8;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
143;Bota_Feminina;8;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
144;Elmo_de_Guardiao;9;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
145;Armadura_de_Guardiao;9;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
146;Calça_de_Guardiao;9;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
147;Luva_de_Guardiao;9;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
148;Bota_de_Guardiao;9;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
149;Elmo_de_Terah;10;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
150;Armadura_de_Terah;10;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
151;Calca_de_Terah;10;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
152;Luva_de_Terah;10;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
153;Bota_de_Terah;10;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
154;Elmo_Azul;15;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
155;Armadura_Azul;15;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
156;Calca_Azul;15;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
157;Luvas_Azuis;15;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
158;Botas_Azuis;15;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
159;Elmo_Rubro;16;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0
160;Armadura_Rubro;16;0;0;0;0;0;0;0;0;4;0;0;18;255;33;0
161;Calca_Rubra;16;0;0;0;0;0;0;0;0;8;0;0;18;255;33;0
162;Luvas_Rubras;16;0;0;0;0;0;0;0;0;16;0;0;18;255;33;0
163;Botas_Rubras;16;0;0;0;0;0;0;0;0;32;0;0;18;255;33;0
164;Elmo_de_Guarda(Az);17;0;0;0;0;0;0;0;0;2;0;0;18;255;33;0;3;108;44;10;46;10;571;5;112;2
